Move title,Release year,Director,Cast,Rating,Users rated,Href
Metropolis,1927,Fritz Lang,"Brigitte Helm, Alfred Abel",8.2,178627,/title/tt0017136/
L.A. Confidential,1997,Curtis Hanson,"Kevin Spacey, Russell Crowe",8.2,594296,/title/tt0119488/
Die Hard,1988,John McTiernan,"Bruce Willis, Alan Rickman",8.2,903176,/title/tt0095016/
Indiana Jones and the Last Crusade,1989,Steven Spielberg,"Harrison Ford, Sean Connery",8.2,774155,/title/tt0097576/
Snatch,2000,Guy Ritchie,"Jason Statham, Brad Pitt",8.2,876026,/title/tt0208092/
Bicycle Thieves,1948,Vittorio De Sica,"Lamberto Maggiorani, Enzo Staiola",8.2,167995,/title/tt0040522/
Taxi Driver,1976,Martin Scorsese,"Robert De Niro, Jodie Foster",8.2,867313,/title/tt0075314/
Like Stars on Earth,2007,Aamir Khan,"Darsheel Safary, Aamir Khan",8.2,198494,/title/tt0986264/
1917,2019,Sam Mendes,"Dean-Charles Chapman, George MacKay",8.2,624227,/title/tt8579674/
Dangal,2016,Nitesh Tiwa,"Aamir Khan, Sakshi Tanwar",8.2,197980,/title/tt5074352/
Downfall,2004,Oliver Hirschbiegel,"Bruno Ganz, Alexandra Maria Lara",8.2,363084,/title/tt0363163/
Top Gun: Maverick,2022,Joseph Kosinsk,"Tom Cruise, Jennifer Connelly",8.2,598239,/title/tt1745960/
For a Few Dollars More,1965,Sergio Leone,"Clint Eastwood, Lee Van Cleef",8.2,263428,/title/tt0059578/
Batman Begins,2005,Christopher Nolan,"Christian Bale, Michael Caine",8.2,1507535,/title/tt0372784/
The Kid,1921,Charles Chaplin,"Charles Chaplin, Edna Purviance",8.2,129631,/title/tt0012349/
Some Like It Hot,1959,Billy Wilde,"Marilyn Monroe, Tony Curtis",8.2,273774,/title/tt0053291/
The Father,2020,Florian Zelle,"Anthony Hopkins, Olivia Colman",8.2,170204,/title/tt10272386/
The Wolf of Wall Street,2013,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill",8.2,1469190,/title/tt0993846/
All About Eve,1950,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter",8.2,134347,/title/tt0042192/
Green Book,2018,Peter Farrelly,"Viggo Mortensen, Mahershala Ali",8.2,521781,/title/tt6966692/
Judgment at Nuremberg,1961,Stanley Krame,"Spencer Tracy, Burt Lancaster",8.2,80210,/title/tt0055031/
Ran,1985,Akira Kurosawa,"Tatsuya Nakadai, Akira Terao",8.2,129622,/title/tt0089881/
The Truman Show,1998,Peter We,"Jim Carrey, Ed Harris",8.2,1121034,/title/tt0120382/
